Time,DC_TRUE,DC_LSTM,DC_PERSIST,DC_MA,IRRADIATION,date
2020-06-15 15:30:00,329.3857143,282.60193,435.1714286,573.04598215,0.3822117121428572,2020-06-15
2020-06-15 15:45:00,367.06250000000006,291.20474,611.75,559.0397321500001,0.4502923073333334,2020-06-15
2020-06-15 16:00:00,256.6428571,174.84166,163.74285709999998,448.300446425,0.1251691066666666,2020-06-15
2020-06-15 16:15:00,210.24999999999997,128.9036,224.7125,358.84419642500006,0.1629056366666666,2020-06-15
2020-06-15 16:30:00,133.1285714,131.35559,329.3857143,332.39776785000004,0.238490188,2020-06-15
2020-06-15 16:45:00,113.3875,147.34912,367.0625,271.22589285000004,0.2764912,2020-06-15
2020-06-15 17:00:00,49.42857143,129.0781,256.6428571,294.45089285,0.193777918,2020-06-15
2020-06-15 17:15:00,22.3375,111.96299,210.25,290.83526785000004,0.1565710793333333,2020-06-15
2020-06-15 17:30:00,1.242857143,83.73907,133.1285714,241.770982125,0.1016916527999999,2020-06-15
2020-06-15 17:45:00,0.0,66.296844,113.3875,178.352232125,0.0859623972,2020-06-15
2020-06-15 18:00:00,0.0,41.50556,49.42857143,126.54866070749999,0.0388465545,2020-06-15
2020-06-15 18:15:00,0.0,22.796305,22.3375,79.57053570749999,0.0182621793333333,2020-06-15
2020-06-15 18:30:00,0.0,9.8052,1.242857143,46.59910714325,0.0040517676866666,2020-06-15
2020-06-15 18:45:00,0.0,6.636196,0.0,18.252232143249998,0.0,2020-06-15
2020-06-15 19:00:00,0.0,10.419698,0.0,5.895089285749999,0.0,2020-06-15
2020-06-15 19:15:00,0.0,10.672515,0.0,0.31071428575,0.0,2020-06-15
2020-06-15 19:30:00,0.0,12.268586,0.0,0.0,0.0,2020-06-15
2020-06-15 19:45:00,0.0,15.46062,0.0,0.0,0.0,2020-06-15
2020-06-15 20:00:00,0.0,19.357018,0.0,0.0,0.0,2020-06-15
2020-06-15 20:15:00,0.0,22.905396,0.0,0.0,0.0,2020-06-15
2020-06-15 20:30:00,0.0,25.051514,0.0,0.0,0.0,2020-06-15
2020-06-15 20:45:00,0.0,26.159864,0.0,0.0,0.0,2020-06-15
2020-06-15 21:00:00,0.0,26.44341,0.0,0.0,0.0,2020-06-15
2020-06-15 21:15:00,0.0,26.320133,0.0,0.0,0.0,2020-06-15
2020-06-15 21:30:00,0.0,26.508816,0.0,0.0,0.0,2020-06-15
2020-06-15 21:45:00,0.0,26.690874,0.0,0.0,0.0,2020-06-15
2020-06-15 22:00:00,0.0,26.903463,0.0,0.0,0.0,2020-06-15
2020-06-15 22:15:00,0.0,29.054768,0.0,0.0,0.0,2020-06-15
2020-06-15 22:30:00,0.0,32.431072,0.0,0.0,0.0,2020-06-15
2020-06-15 22:45:00,0.0,35.361298,0.0,0.0,0.0,2020-06-15
2020-06-15 23:00:00,0.0,37.27173,0.0,0.0,0.0,2020-06-15
2020-06-15 23:15:00,0.0,38.594505,0.0,0.0,0.0,2020-06-15
2020-06-15 23:30:00,0.0,39.51119,0.0,0.0,0.0,2020-06-15
2020-06-15 23:45:00,0.0,39.62265,0.0,0.0,0.0,2020-06-15
2020-06-16 00:00:00,0.0,36.893948,0.0,0.0,0.0,2020-06-16
2020-06-16 00:15:00,0.0,33.26742,0.0,0.0,0.0,2020-06-16
2020-06-16 00:30:00,0.0,29.120619,0.0,0.0,0.0,2020-06-16
2020-06-16 00:45:00,0.0,24.355148,0.0,0.0,0.0,2020-06-16
2020-06-16 01:00:00,0.0,20.020472,0.0,0.0,0.0,2020-06-16
2020-06-16 01:15:00,0.0,17.282087,0.0,0.0,0.0,2020-06-16
2020-06-16 01:30:00,0.0,17.211794,0.0,0.0,0.0,2020-06-16
2020-06-16 01:45:00,0.0,17.51336,0.0,0.0,0.0,2020-06-16
2020-06-16 02:00:00,0.0,18.008219,0.0,0.0,0.0,2020-06-16
2020-06-16 02:15:00,0.0,19.512552,0.0,0.0,0.0,2020-06-16
2020-06-16 02:30:00,0.0,21.920193,0.0,0.0,0.0,2020-06-16
2020-06-16 02:45:00,0.0,24.488401,0.0,0.0,0.0,2020-06-16
2020-06-16 03:00:00,0.0,27.49956,0.0,0.0,0.0,2020-06-16
2020-06-16 03:15:00,0.0,31.750303,0.0,0.0,0.0,2020-06-16
2020-06-16 03:30:00,0.0,37.6267,0.0,0.0,0.0,2020-06-16
2020-06-16 03:45:00,0.0,46.355587,0.0,0.0,0.0,2020-06-16
2020-06-16 04:00:00,0.0,58.751205,0.0,0.0,0.0,2020-06-16
2020-06-16 04:15:00,0.0,73.19447,0.0,0.0,0.0,2020-06-16
2020-06-16 04:30:00,0.0,89.9346,0.0,0.0,0.0,2020-06-16
2020-06-16 04:45:00,0.0,108.65897,0.0,0.0,0.0,2020-06-16
2020-06-16 05:00:00,9.092857145,127.98416,0.0,0.0,0.0,2020-06-16
2020-06-16 05:15:00,18.18571429,146.68967,0.0,0.0,0.0,2020-06-16
2020-06-16 05:30:00,64.1125,163.81258,0.0,0.0,0.0,2020-06-16
2020-06-16 05:45:00,93.8,179.79988,0.0,0.0,0.0,2020-06-16
2020-06-16 06:00:00,136.0625,198.19893,9.092857145,2.27321428625,0.003851879775,2020-06-16
2020-06-16 06:15:00,223.5857143,218.36934,18.18571429,6.81964285875,0.0141838213333333,2020-06-16
2020-06-16 06:30:00,262.8375,249.92412,64.1125,22.84776785875,0.0468413084666666,2020-06-16
2020-06-16 06:45:00,331.97142859999997,286.97034,93.8,46.29776785875,0.0706118121333333,2020-06-16
2020-06-16 07:00:00,461.3375,329.32443,136.0625,78.0401785725,0.1017261071999999,2020-06-16
2020-06-16 07:15:00,433.5285714,387.023,223.5857143,129.390178575,0.167161456,2020-06-16
2020-06-16 07:30:00,545.3875,445.65344,262.8375,179.071428575,0.206390628,2020-06-16
2020-06-16 07:45:00,556.2571429,507.90305,331.97142859999997,238.61428572499997,0.2582670813333333,2020-06-16
2020-06-16 08:00:00,546.4,589.3749,461.3375,319.93303572499997,0.353673456,2020-06-16
2020-06-16 08:15:00,607.0285713999999,644.19617,433.5285714,372.41875,0.32255192,2020-06-16
2020-06-16 08:30:00,695.9714286000001,705.121,545.3875,443.05625,0.402276302,2020-06-16
2020-06-16 08:45:00,826.4,753.4793,556.2571429,499.127678575,0.4147560933333333,2020-06-16
2020-06-16 09:00:00,1044.085714,780.1618,546.4,520.393303575,0.410816618,2020-06-16
2020-06-16 09:15:00,984.2625,807.06714,607.0285713999999,563.7683035749999,0.46019857,2020-06-16
2020-06-16 09:30:00,784.6857143000001,842.1441,695.9714286000001,601.414285725,0.5521471146666667,2020-06-16
2020-06-16 09:45:00,861.4125,892.4877,826.4,668.9499999999999,0.63615115,2020-06-16
2020-06-16 10:00:00,1138.557143,968.94635,1044.085714,793.3714285000001,0.8289793113333334,2020-06-16
2020-06-16 10:15:00,830.75,1010.4409,984.2625,887.67991065,0.7204248719999999,2020-06-16
2020-06-16 10:30:00,560.5857143000001,984.7674,784.6857143,909.858482075,0.5909023807142856,2020-06-16
2020-06-16 10:45:00,735.2999999999998,961.47845,861.4125,918.611607075,0.6752527859999999,2020-06-16
2020-06-16 11:00:00,316.5714286,993.3846,1138.557143,942.229464325,0.9182852226666663,2020-06-16
2020-06-16 11:15:00,536.475,946.09644,830.75,903.851339325,0.5986946806666666,2020-06-16
2020-06-16 11:30:00,697.9285714,834.1334,560.5857143000001,847.8263393249999,0.4207671039999999,2020-06-16
2020-06-16 11:45:00,729.7625000000002,775.2828,735.3,816.2982143250001,0.5218388100000001,2020-06-16
2020-06-16 12:00:00,428.65714289999994,632.28424,316.5714286,610.801785725,0.2222456033333333,2020-06-16
